Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
HGIC11;Títulos e Val Mob;109.00;1947;0.99;0.91;2.89;5.93;10.39;0.96;0.99;0.87;2.89;-4.38;-3.51;5.31;30429349.52;109.48;1.00;1.10;1.35;2.46;3.40;;;0
XPLG11;Logística;96.68;48030;0.66;0.68;2.04;4.03;7.42;0.68;0.67;0.62;2.04;5.82;6.54;0.97;32198648.41;111.51;0.87;0.59;1.49;2.09;2.69;8.80;1.20;13
HCHG11;Outros;81.89;10062;0.85;0.96;2.77;5.29;0.00;0.92;0.88;0.00;2.77;0.00;0.96;2.68;117982259.71;98.32;0.83;0.81;0.88;1.70;2.53;;;0
RBVA11;Outros;99.44;11041;0.92;0.93;2.84;5.64;10.60;0.95;0.94;0.88;2.84;4.61;5.58;2.71;1194185478.87;103.05;0.96;0.89;-0.04;0.85;1.75;0.70;;72
BARI11;Títulos e Val Mob;100.50;58794;1.10;1.07;3.19;6.78;12.91;1.06;1.13;1.08;3.19;-0.63;0.44;0.86;470871857.99;101.61;0.99;1.08;0.08;1.16;2.26;;;0
XPCM11;Lajes Corporativas;17.00;18149;0.18;1.05;2.75;5.18;10.04;0.92;0.86;0.84;2.75;-2.12;-1.09;-8.23;131409546.95;54.42;0.31;0.29;-0.49;-0.20;0.07;100.00;;1
URPR11;Outros;115.00;41180;1.65;1.41;4.16;8.54;17.61;1.39;1.42;1.47;4.16;-0.17;1.24;1.28;536567615.76;97.23;1.18;1.68;1.62;3.33;5.09;;;0
JGPX11;Híbrido;98.00;660;1.20;1.23;0.00;0.00;0.00;0.00;0.00;0.00;3.41;0.18;1.42;4.09;8071547.82;95.17;1.03;1.12;0.13;1.25;2.37;;;0
KNSC11;Títulos e Val Mob;95.35;41929;1.12;1.16;3.46;7.65;13.84;1.15;1.27;1.15;3.46;1.68;2.85;0.83;703260649.36;88.61;1.08;1.13;-0.76;0.36;1.77;;;0
CYCR11;;99.38;10;1.15;1.15;3.44;0.00;0.00;1.15;0.00;0.00;3.44;-0.20;0.95;2.43;60293805.33;94.34;1.05;1.22;0.00;1.22;1.22;;;0
RBGS11;Shoppings;28.45;5157;0.18;0.62;1.59;2.73;5.12;0.53;0.46;0.43;5.12;-1.90;-1.29;-28.71;97865283.71;90.78;0.31;0.18;0.00;0.18;1.17;13.00;;1
